TransactionID,Date,Year,Month,Month_Name,Quarter,Season,State,District,Product,Category,Quantity_MT,Unit_Price,Discount_Pct,Revenue,COGS,Gross_Profit,Channel,SalesRep,CustomerType,ReturnFlag
TXN00023,5/17/2024,2024,5,May,Q2,Kharif,Bihar,Bhagalpur,Urea,Nitrogenous,354,553.2,0.078,195832.8,99120,96712.8,Dealer,SR-002,Cooperative,No
TXN00024,8/12/2022,2022,8,Aug,Q3,Kharif,Madhya Pradesh,Indore,NPK 10-26-26,Complex,284,1135.2,0.054,322396.8,232880,89516.8,Cooperative Society,SR-006,Large Farmer,No
TXN00025,5/27/2023,2023,5,May,Q2,Kharif,Punjab,Patiala,DAP,Phosphatic,35,1244.7,0.078,43564.5,31500,12064.5,Online Portal,SR-027,Small Farmer,No
TXN00026,4/30/2023,2023,4,Apr,Q2,Kharif,Haryana,Hisar,Zinc Sulphate,Micronutrient,256,340.9,0.026,87270.4,46080,41190.4,Cooperative Society,SR-029,Small Farmer,No
TXN00027,2/16/2024,2024,2,Feb,Q1,Rabi,Uttar Pradesh,Varanasi,SSP,Phosphatic,484,380.52,0.094,184171.68,96800,87371.68,Cooperative Society,SR-010,Cooperative,No
TXN00028,9/23/2024,2024,9,Sep,Q3,Rabi,Haryana,Faridabad,SSP,Phosphatic,121,371.28,0.116,44924.88,24200,20724.88,Online Portal,SR-024,Small Farmer,No
TXN00029,4/28/2022,2022,4,Apr,Q2,Kharif,Uttar Pradesh,Meerut,Zinc Sulphate,Micronutrient,267,311.5,0.11,83170.5,48060,35110.5,Online Portal,SR-006,Small Farmer,No
TXN00030,6/14/2022,2022,6,Jun,Q2,Kharif,Haryana,Gurugram,DAP,Phosphatic,355,1210.95,0.103,429887.25,319500,110387.25,Cooperative Society,SR-004,Medium Farmer,No
TXN00031,5/2/2025,2025,5,May,Q2,Kharif,Uttar Pradesh,Meerut,DAP,Phosphatic,224,1243.35,0.079,278510.4,201600,76910.4,Online Portal,SR-017,Large Farmer,No
TXN00032,2/23/2023,2023,2,Feb,Q1,Rabi,Maharashtra,Nashik,SSP,Phosphatic,212,413.28,0.016,87615.36,42400,45215.36,Government Scheme,SR-015,Large Farmer,No
TXN00033,1/20/2022,2022,1,Jan,Q1,Rabi,Gujarat,Gandhinagar,DAP,Phosphatic,47,1262.25,0.065,59325.75,42300,17025.75,Online Portal,SR-009,Medium Farmer,No
TXN00034,5/21/2022,2022,5,May,Q2,Kharif,Madhya Pradesh,Gwalior,SSP,Phosphatic,90,397.74,0.053,35796.6,18000,17796.6,Online Portal,SR-023,Large Farmer,No
TXN00035,12/19/2024,2024,12,Dec,Q4,Rabi,Uttar Pradesh,Meerut,SSP,Phosphatic,487,386.4,0.08,188176.8,97400,90776.8,Direct Farm,SR-009,Small Farmer,No
TXN00036,2/7/2025,2025,2,Feb,Q1,Rabi,Haryana,Ambala,SSP,Phosphatic,319,409.5,0.025,130630.5,63800,66830.5,Government Scheme,SR-007,Large Farmer,No
TXN00037,9/27/2024,2024,9,Sep,Q3,Rabi,Rajasthan,Jaipur,DAP,Phosphatic,334,1281.15,0.051,427904.1,300600,127304.1,Government Scheme,SR-002,Small Farmer,No
TXN00038,9/25/2022,2022,9,Sep,Q3,Rabi,Rajasthan,Jodhpur,Zinc Sulphate,Micronutrient,292,320.25,0.085,93513,52560,40953,Online Portal,SR-001,Small Farmer,No
TXN00039,11/2/2022,2022,11,Nov,Q4,Rabi,Andhra Pradesh,Guntur,Ammonium Sulphate,Nitrogenous,308,607.1,0.066,186986.8,107800,79186.8,Cooperative Society,SR-005,Small Farmer,No
TXN00040,1/17/2024,2024,1,Jan,Q1,Rabi,Uttar Pradesh,Kanpur,NPK 10-26-26,Complex,359,1164,0.03,417876,294380,123496,Dealer,SR-012,Cooperative,No
TXN00041,11/13/2022,2022,11,Nov,Q4,Rabi,Madhya Pradesh,Indore,MOP,Potassic,461,855.9,0.049,394569.9,276600,117969.9,Direct Farm,SR-024,Large Farmer,No
TXN00042,5/24/2023,2023,5,May,Q2,Kharif,Rajasthan,Jodhpur,DAP,Phosphatic,205,1208.25,0.105,247691.25,184500,63191.25,Cooperative Society,SR-008,Medium Farmer,No
TXN00043,12/18/2023,2023,12,Dec,Q4,Rabi,Rajasthan,Jodhpur,NPK 10-26-26,Complex,22,1105.2,0.079,24314.4,18040,6274.4,Cooperative Society,SR-011,Large Farmer,No
TXN00044,7/26/2023,2023,7,Jul,Q3,Kharif,Maharashtra,Kolhapur,Calcium Nitrate,Nitrogenous,357,749.7,0.118,267642.9,178500,89142.9,Online Portal,SR-011,Small Farmer,No
TXN00045,6/19/2023,2023,6,Jun,Q2,Kharif,Haryana,Rohtak,SSP,Phosphatic,29,414.54,0.013,12021.66,5800,6221.66,Cooperative Society,SR-012,Large Farmer,No
TXN00046,11/13/2024,2024,11,Nov,Q4,Rabi,Punjab,Patiala,NPK 10-26-26,Complex,140,1194,0.005,167160,114800,52360,Cooperative Society,SR-001,Medium Farmer,No
TXN00047,6/2/2024,2024,6,Jun,Q2,Kharif,Punjab,Jalandhar,Ammonium Sulphate,Nitrogenous,349,583.7,0.102,203711.3,122150,81561.3,Government Scheme,SR-017,Large Farmer,No
TXN00048,10/31/2023,2023,10,Oct,Q4,Rabi,Bihar,Gaya,MOP,Potassic,108,855,0.05,92340,64800,27540,Cooperative Society,SR-022,Medium Farmer,No
TXN00049,3/11/2025,2025,3,Mar,Q1,Kharif,Rajasthan,Ajmer,Urea,Nitrogenous,165,579.6,0.034,95634,46200,49434,Cooperative Society,SR-026,Large Farmer,No
TXN00050,6/23/2024,2024,6,Jun,Q2,Kharif,Gujarat,Surat,Zinc Sulphate,Micronutrient,416,312.2,0.108,129875.2,74880,54995.2,Direct Farm,SR-022,Small Farmer,No
TXN00051,11/21/2024,2024,11,Nov,Q4,Rabi,Karnataka,Hubli,DAP,Phosphatic,429,1196.1,0.114,513126.9,386100,127026.9,Direct Farm,SR-022,Large Farmer,No
TXN00052,2/12/2023,2023,2,Feb,Q1,Rabi,Haryana,Gurugram,Urea,Nitrogenous,135,529.2,0.118,71442,37800,33642,Online Portal,SR-028,Small Farmer,No
TXN00053,4/28/2024,2024,4,Apr,Q2,Kharif,Karnataka,Mysuru,Calcium Nitrate,Nitrogenous,263,809.2,0.048,212819.6,131500,81319.6,Direct Farm,SR-021,Small Farmer,No
TXN00054,5/20/2024,2024,5,May,Q2,Kharif,Madhya Pradesh,Indore,Zinc Sulphate,Micronutrient,35,326.55,0.067,11429.25,6300,5129.25,Dealer,SR-015,Medium Farmer,No
TXN00055,12/23/2024,2024,12,Dec,Q4,Rabi,Andhra Pradesh,Nellore,Ammonium Sulphate,Nitrogenous,496,590.85,0.091,293061.6,173600,119461.6,Cooperative Society,SR-020,Cooperative,No
TXN00056,7/2/2024,2024,7,Jul,Q3,Kharif,Haryana,Hisar,Zinc Sulphate,Micronutrient,142,318.5,0.09,45227,25560,19667,Government Scheme,SR-025,Cooperative,Yes
TXN00057,5/5/2023,2023,5,May,Q2,Kharif,Rajasthan,Ajmer,DAP,Phosphatic,375,1304.1,0.034,489037.5,337500,151537.5,Government Scheme,SR-011,Large Farmer,No
TXN00058,6/15/2022,2022,6,Jun,Q2,Kharif,Haryana,Faridabad,NPK 10-26-26,Complex,206,1100.4,0.083,226682.4,168920,57762.4,Direct Farm,SR-003,Cooperative,No
TXN00059,11/9/2023,2023,11,Nov,Q4,Rabi,Andhra Pradesh,Vijayawada,Calcium Nitrate,Nitrogenous,41,828.75,0.025,33978.75,20500,13478.75,Cooperative Society,SR-013,Small Farmer,No
TXN00060,2/19/2024,2024,2,Feb,Q1,Rabi,Gujarat,Ahmedabad,Ammonium Sulphate,Nitrogenous,162,591.5,0.09,95823,56700,39123,Cooperative Society,SR-018,Medium Farmer,No
TXN00061,3/26/2023,2023,3,Mar,Q1,Kharif,Rajasthan,Ajmer,Zinc Sulphate,Micronutrient,24,333.55,0.047,8005.2,4320,3685.2,Cooperative Society,SR-024,Medium Farmer,No
TXN00062,9/19/2022,2022,9,Sep,Q3,Rabi,Karnataka,Belagavi,Urea,Nitrogenous,474,571.8,0.047,271033.2,132720,138313.2,Online Portal,SR-022,Small Farmer,No
TXN00063,5/27/2024,2024,5,May,Q2,Kharif,Haryana,Hisar,MOP,Potassic,35,872.1,0.031,30523.5,21000,9523.5,Government Scheme,SR-007,Cooperative,No
TXN00064,11/23/2023,2023,11,Nov,Q4,Rabi,Bihar,Gaya,Calcium Nitrate,Nitrogenous,139,765,0.1,106335,69500,36835,Cooperative Society,SR-001,Small Farmer,No
TXN00065,4/5/2023,2023,4,Apr,Q2,Kharif,Punjab,Ludhiana,Urea,Nitrogenous,496,582,0.03,288672,138880,149792,Dealer,SR-020,Medium Farmer,No
TXN00066,9/16/2022,2022,9,Sep,Q3,Rabi,Gujarat,Ahmedabad,NPK 10-26-26,Complex,248,1099.2,0.084,272601.6,203360,69241.6,Government Scheme,SR-006,Small Farmer,No
TXN00067,9/30/2023,2023,9,Sep,Q3,Rabi,Punjab,Bathinda,Urea,Nitrogenous,485,577.8,0.037,280233,135800,144433,Cooperative Society,SR-013,Medium Farmer,No
TXN00068,4/27/2025,2025,4,Apr,Q2,Kharif,Madhya Pradesh,Bhopal,SSP,Phosphatic,445,385.56,0.082,171574.2,89000,82574.2,Dealer,SR-026,Small Farmer,No
TXN00069,12/27/2024,2024,12,Dec,Q4,Rabi,Bihar,Gaya,DAP,Phosphatic,269,1244.7,0.078,334824.3,242100,92724.3,Dealer,SR-028,Cooperative,No
TXN00070,8/5/2022,2022,8,Aug,Q3,Kharif,Bihar,Gaya,Zinc Sulphate,Micronutrient,372,343.7,0.018,127856.4,66960,60896.4,Direct Farm,SR-024,Large Farmer,No
TXN00071,1/7/2025,2025,1,Jan,Q1,Rabi,Gujarat,Rajkot,Calcium Nitrate,Nitrogenous,432,775.2,0.088,334886.4,216000,118886.4,Government Scheme,SR-011,Medium Farmer,No
TXN00072,7/26/2023,2023,7,Jul,Q3,Kharif,Gujarat,Surat,Zinc Sulphate,Micronutrient,301,324.45,0.073,97659.45,54180,43479.45,Cooperative Society,SR-011,Small Farmer,No
TXN00073,10/28/2023,2023,10,Oct,Q4,Rabi,Haryana,Hisar,NPK 10-26-26,Complex,191,1084.8,0.096,207196.8,156620,50576.8,Government Scheme,SR-009,Large Farmer,No
TXN00074,1/21/2022,2022,1,Jan,Q1,Rabi,Andhra Pradesh,Visakhapatnam,DAP,Phosphatic,133,1233.9,0.086,164108.7,119700,44408.7,Cooperative Society,SR-018,Medium Farmer,No
TXN00075,10/2/2024,2024,10,Oct,Q4,Rabi,Gujarat,Ahmedabad,DAP,Phosphatic,160,1313.55,0.027,210168,144000,66168,Direct Farm,SR-010,Large Farmer,No
TXN00076,2/7/2025,2025,2,Feb,Q1,Rabi,Andhra Pradesh,Kurnool,Calcium Nitrate,Nitrogenous,391,793.9,0.066,310414.9,195500,114914.9,Government Scheme,SR-023,Cooperative,No
TXN00077,9/20/2023,2023,9,Sep,Q3,Rabi,Rajasthan,Jodhpur,DAP,Phosphatic,379,1318.95,0.023,499882.05,341100,158782.05,Dealer,SR-024,Medium Farmer,No
TXN00078,3/20/2023,2023,3,Mar,Q1,Kharif,Gujarat,Vadodara,SSP,Phosphatic,61,378,0.1,23058,12200,10858,Government Scheme,SR-008,Large Farmer,No
TXN00079,9/12/2023,2023,9,Sep,Q3,Rabi,Uttar Pradesh,Meerut,MOP,Potassic,150,895.5,0.005,134325,90000,44325,Dealer,SR-018,Large Farmer,No
TXN00080,10/2/2024,2024,10,Oct,Q4,Rabi,Punjab,Ludhiana,SSP,Phosphatic,250,396.06,0.057,99015,50000,49015,Government Scheme,SR-006,Small Farmer,No
TXN00081,9/5/2024,2024,9,Sep,Q3,Rabi,Punjab,Ludhiana,Calcium Nitrate,Nitrogenous,261,842.35,0.009,219853.35,130500,89353.35,Dealer,SR-005,Medium Farmer,No
TXN00082,9/15/2023,2023,9,Sep,Q3,Rabi,Punjab,Amritsar,DAP,Phosphatic,295,1225.8,0.092,361611,265500,96111,Online Portal,SR-020,Medium Farmer,No
TXN00083,2/19/2024,2024,2,Feb,Q1,Rabi,Gujarat,Rajkot,SSP,Phosphatic,450,390.18,0.071,175581,90000,85581,Cooperative Society,SR-010,Small Farmer,No
TXN00084,7/23/2022,2022,7,Jul,Q3,Kharif,Madhya Pradesh,Indore,SSP,Phosphatic,348,415.8,0.01,144698.4,69600,75098.4,Direct Farm,SR-006,Small Farmer,No
TXN00085,1/6/2022,2022,1,Jan,Q1,Rabi,Bihar,Bhagalpur,Zinc Sulphate,Micronutrient,159,348.6,0.004,55427.4,28620,26807.4,Government Scheme,SR-023,Large Farmer,No
TXN00086,5/26/2022,2022,5,May,Q2,Kharif,Madhya Pradesh,Gwalior,NPK 10-26-26,Complex,227,1183.2,0.014,268586.4,186140,82446.4,Direct Farm,SR-021,Medium Farmer,No
TXN00087,10/19/2022,2022,10,Oct,Q4,Rabi,Punjab,Ludhiana,MOP,Potassic,415,866.7,0.037,359680.5,249000,110680.5,Online Portal,SR-030,Large Farmer,No
TXN00088,9/12/2022,2022,9,Sep,Q3,Rabi,Gujarat,Vadodara,Calcium Nitrate,Nitrogenous,492,821.95,0.033,404399.4,246000,158399.4,Online Portal,SR-016,Cooperative,No
TXN00089,3/23/2022,2022,3,Mar,Q1,Kharif,Bihar,Gaya,SSP,Phosphatic,23,415.38,0.011,9553.74,4600,4953.74,Online Portal,SR-019,Small Farmer,No
TXN00090,3/26/2025,2025,3,Mar,Q1,Kharif,Uttar Pradesh,Agra,Zinc Sulphate,Micronutrient,275,322.7,0.078,88742.5,49500,39242.5,Government Scheme,SR-006,Cooperative,Yes
TXN00091,10/4/2024,2024,10,Oct,Q4,Rabi,Punjab,Patiala,Ammonium Sulphate,Nitrogenous,219,624,0.04,136656,76650,60006,Dealer,SR-028,Medium Farmer,No
TXN00092,4/23/2024,2024,4,Apr,Q2,Kharif,Gujarat,Vadodara,Calcium Nitrate,Nitrogenous,426,772.65,0.091,329148.9,213000,116148.9,Dealer,SR-015,Small Farmer,No
TXN00093,6/1/2023,2023,6,Jun,Q2,Kharif,Maharashtra,Pune,Calcium Nitrate,Nitrogenous,452,797.3,0.062,360379.6,226000,134379.6,Dealer,SR-022,Cooperative,No
TXN00094,4/22/2022,2022,4,Apr,Q2,Kharif,Madhya Pradesh,Ujjain,Ammonium Sulphate,Nitrogenous,328,590.85,0.091,193798.8,114800,78998.8,Cooperative Society,SR-025,Small Farmer,No
TXN00095,7/1/2023,2023,7,Jul,Q3,Kharif,Andhra Pradesh,Visakhapatnam,SSP,Phosphatic,234,375.48,0.106,87862.32,46800,41062.32,Cooperative Society,SR-004,Small Farmer,Yes
TXN00096,5/6/2023,2023,5,May,Q2,Kharif,Haryana,Ambala,Urea,Nitrogenous,292,570.6,0.049,166615.2,81760,84855.2,Direct Farm,SR-027,Small Farmer,No
TXN00097,8/29/2022,2022,8,Aug,Q3,Kharif,Haryana,Hisar,SSP,Phosphatic,270,384.3,0.085,103761,54000,49761,Cooperative Society,SR-027,Cooperative,No
TXN00098,5/15/2023,2023,5,May,Q2,Kharif,Gujarat,Gandhinagar,MOP,Potassic,206,879.3,0.023,181135.8,123600,57535.8,Online Portal,SR-017,Medium Farmer,No
TXN00099,7/20/2023,2023,7,Jul,Q3,Kharif,Bihar,Gaya,SSP,Phosphatic,430,420,0,180600,86000,94600,Government Scheme,SR-027,Cooperative,No
TXN00100,7/3/2024,2024,7,Jul,Q3,Kharif,Andhra Pradesh,Vijayawada,Ammonium Sulphate,Nitrogenous,180,607.1,0.066,109278,63000,46278,Online Portal,SR-013,Cooperative,No
TXN00101,1/22/2023,2023,1,Jan,Q1,Rabi,Madhya Pradesh,Ujjain,Calcium Nitrate,Nitrogenous,129,762.45,0.103,98356.05,64500,33856.05,Cooperative Society,SR-002,Large Farmer,No
TXN00102,2/20/2024,2024,2,Feb,Q1,Rabi,Bihar,Muzaffarpur,Zinc Sulphate,Micronutrient,28,344.75,0.015,9653,5040,4613,Online Portal,SR-011,Small Farmer,No
TXN00103,7/24/2022,2022,7,Jul,Q3,Kharif,Andhra Pradesh,Vijayawada,Urea,Nitrogenous,379,589.8,0.017,223534.2,106120,117414.2,Direct Farm,SR-003,Cooperative,No
TXN00104,11/25/2023,2023,11,Nov,Q4,Rabi,Karnataka,Mangaluru,DAP,Phosphatic,446,1297.35,0.039,578618.1,401400,177218.1,Online Portal,SR-013,Large Farmer,Yes
TXN00105,9/26/2024,2024,9,Sep,Q3,Rabi,Andhra Pradesh,Guntur,DAP,Phosphatic,130,1247.4,0.076,162162,117000,45162,Government Scheme,SR-008,Small Farmer,No
TXN00106,7/21/2022,2022,7,Jul,Q3,Kharif,Punjab,Patiala,MOP,Potassic,365,867.6,0.036,316674,219000,97674,Dealer,SR-002,Large Farmer,No
TXN00107,8/24/2023,2023,8,Aug,Q3,Kharif,Maharashtra,Aurangabad,Calcium Nitrate,Nitrogenous,84,825.35,0.029,69329.4,42000,27329.4,Cooperative Society,SR-019,Medium Farmer,No
TXN00108,12/25/2022,2022,12,Dec,Q4,Rabi,Punjab,Bathinda,Calcium Nitrate,Nitrogenous,327,780.3,0.082,255158.1,163500,91658.1,Cooperative Society,SR-030,Medium Farmer,No
TXN00109,8/2/2024,2024,8,Aug,Q3,Kharif,Rajasthan,Ajmer,SSP,Phosphatic,351,419.58,0.001,147272.58,70200,77072.58,Cooperative Society,SR-029,Large Farmer,No
TXN00110,11/20/2022,2022,11,Nov,Q4,Rabi,Punjab,Patiala,Ammonium Sulphate,Nitrogenous,310,626.6,0.036,194246,108500,85746,Cooperative Society,SR-023,Large Farmer,No
TXN00111,9/11/2023,2023,9,Sep,Q3,Rabi,Madhya Pradesh,Jabalpur,Zinc Sulphate,Micronutrient,64,340.2,0.028,21772.8,11520,10252.8,Online Portal,SR-012,Large Farmer,No
TXN00112,2/14/2022,2022,2,Feb,Q1,Rabi,Bihar,Gaya,Urea,Nitrogenous,299,537.6,0.104,160742.4,83720,77022.4,Dealer,SR-030,Cooperative,No
TXN00113,4/17/2023,2023,4,Apr,Q2,Kharif,Karnataka,Hubli,NPK 10-26-26,Complex,335,1172.4,0.023,392754,274700,118054,Government Scheme,SR-022,Medium Farmer,Yes
TXN00114,7/18/2022,2022,7,Jul,Q3,Kharif,Uttar Pradesh,Kanpur,Zinc Sulphate,Micronutrient,27,325.5,0.07,8788.5,4860,3928.5,Direct Farm,SR-003,Large Farmer,No
TXN00115,4/30/2024,2024,4,Apr,Q2,Kharif,Haryana,Faridabad,MOP,Potassic,412,841.5,0.065,346698,247200,99498,Government Scheme,SR-017,Large Farmer,No
TXN00116,6/11/2023,2023,6,Jun,Q2,Kharif,Gujarat,Vadodara,Ammonium Sulphate,Nitrogenous,421,640.9,0.014,269818.9,147350,122468.9,Dealer,SR-005,Medium Farmer,No
TXN00117,2/15/2025,2025,2,Feb,Q1,Rabi,Maharashtra,Pune,Calcium Nitrate,Nitrogenous,17,822.8,0.032,13987.6,8500,5487.6,Dealer,SR-015,Large Farmer,No
TXN00118,4/12/2025,2025,4,Apr,Q2,Kharif,Bihar,Gaya,DAP,Phosphatic,355,1312.2,0.028,465831,319500,146331,Dealer,SR-020,Large Farmer,No
TXN00119,3/30/2023,2023,3,Mar,Q1,Kharif,Punjab,Patiala,SSP,Phosphatic,342,399.42,0.049,136601.64,68400,68201.64,Direct Farm,SR-002,Small Farmer,No
TXN00120,10/5/2024,2024,10,Oct,Q4,Rabi,Punjab,Ludhiana,NPK 10-26-26,Complex,464,1122,0.065,520608,380480,140128,Cooperative Society,SR-015,Large Farmer,No
TXN00121,5/8/2024,2024,5,May,Q2,Kharif,Karnataka,Mysuru,Calcium Nitrate,Nitrogenous,345,839.8,0.012,289731,172500,117231,Cooperative Society,SR-020,Cooperative,No
TXN00122,3/9/2022,2022,3,Mar,Q1,Kharif,Maharashtra,Nashik,Zinc Sulphate,Micronutrient,237,310.1,0.114,73493.7,42660,30833.7,Government Scheme,SR-004,Large Farmer,No
TXN00123,1/5/2024,2024,1,Jan,Q1,Rabi,Uttar Pradesh,Varanasi,SSP,Phosphatic,107,371.28,0.116,39726.96,21400,18326.96,Cooperative Society,SR-003,Medium Farmer,Yes
TXN00124,2/13/2022,2022,2,Feb,Q1,Rabi,Uttar Pradesh,Kanpur,NPK 10-26-26,Complex,74,1087.2,0.094,80452.8,60680,19772.8,Direct Farm,SR-003,Medium Farmer,No
TXN00125,3/19/2023,2023,3,Mar,Q1,Kharif,Madhya Pradesh,Gwalior,MOP,Potassic,413,802.8,0.108,331556.4,247800,83756.4,Dealer,SR-009,Medium Farmer,No
TXN00126,1/11/2025,2025,1,Jan,Q1,Rabi,Rajasthan,Jodhpur,DAP,Phosphatic,348,1209.6,0.104,420940.8,313200,107740.8,Direct Farm,SR-001,Large Farmer,No
TXN00127,4/20/2025,2025,4,Apr,Q2,Kharif,Maharashtra,Pune,MOP,Potassic,145,894.6,0.006,129717,87000,42717,Cooperative Society,SR-017,Small Farmer,No
TXN00128,9/2/2024,2024,9,Sep,Q3,Rabi,Gujarat,Vadodara,DAP,Phosphatic,241,1269,0.06,305829,216900,88929,Online Portal,SR-002,Large Farmer,No
TXN00129,3/5/2022,2022,3,Mar,Q1,Kharif,Uttar Pradesh,Varanasi,Calcium Nitrate,Nitrogenous,228,780.3,0.082,177908.4,114000,63908.4,Cooperative Society,SR-023,Cooperative,No
TXN00130,6/15/2022,2022,6,Jun,Q2,Kharif,Maharashtra,Kolhapur,MOP,Potassic,43,886.5,0.015,38119.5,25800,12319.5,Online Portal,SR-021,Large Farmer,No
TXN00131,12/22/2024,2024,12,Dec,Q4,Rabi,Rajasthan,Ajmer,Calcium Nitrate,Nitrogenous,60,769.25,0.095,46155,30000,16155,Dealer,SR-028,Medium Farmer,No
TXN00132,7/13/2024,2024,7,Jul,Q3,Kharif,Madhya Pradesh,Jabalpur,Ammonium Sulphate,Nitrogenous,433,614.9,0.054,266251.7,151550,114701.7,Cooperative Society,SR-024,Small Farmer,No
TXN00133,5/24/2024,2024,5,May,Q2,Kharif,Maharashtra,Aurangabad,Ammonium Sulphate,Nitrogenous,498,638.3,0.018,317873.4,174300,143573.4,Cooperative Society,SR-003,Small Farmer,No
TXN00134,7/10/2022,2022,7,Jul,Q3,Kharif,Bihar,Patna,Ammonium Sulphate,Nitrogenous,425,639.6,0.016,271830,148750,123080,Dealer,SR-019,Large Farmer,No
TXN00135,4/21/2024,2024,4,Apr,Q2,Kharif,Maharashtra,Nagpur,Urea,Nitrogenous,157,556.8,0.072,87417.6,43960,43457.6,Government Scheme,SR-004,Medium Farmer,No
TXN00136,9/14/2024,2024,9,Sep,Q3,Rabi,Madhya Pradesh,Bhopal,Ammonium Sulphate,Nitrogenous,442,606.45,0.067,268050.9,154700,113350.9,Dealer,SR-025,Large Farmer,No
TXN00137,4/9/2023,2023,4,Apr,Q2,Kharif,Bihar,Darbhanga,Urea,Nitrogenous,321,533.4,0.111,171221.4,89880,81341.4,Government Scheme,SR-001,Medium Farmer,No
